commit_message,sha,type,commit_url,annotated_type,masked_commit_message,git_diff,human_label
+  integrity sha512-kcVPdQS6VIpVTQ7QnGNKMFtdJdvnStkqS5LeALr4rcwx11G6OWb2HB17NMPnlRHvaZP38hL9iK8DdE9Fne7NYg==
   dependencies:
     ""@types/json-schema"" ""^7.0.9""
-    ""@typescript-eslint/scope-manager"" ""5.30.7""
-    ""@typescript-eslint/types"" ""5.30.7""
-    ""@typescript-eslint/typescript-estree"" ""5.30.7""
+    ""@typescript-eslint/scope-manager"" ""5.31.0""
+    ""@typescript-eslint/types"" ""5.31.0""
+    ""@typescript-eslint/typescript-estree"" ""5.31.0""
     eslint-scope ""^5.1.1""
     eslint-utils ""^3.0.0""
 
-""@typescript-eslint/visitor-keys@5.30.7"":
-  version ""5.30.7""
-  resolved ""https://registry.yarnpkg.com/@typescript-eslint/visitor-keys/-/visitor-keys-5.30.7.tgz#c093abae75b4fd822bfbad9fc337f38a7a14909a""
-  integrity sha512-KrRXf8nnjvcpxDFOKej4xkD7657+PClJs5cJVSG7NNoCNnjEdc46juNAQt7AyuWctuCgs6mVRc1xGctEqrjxWw==
+""@typescript-eslint/visitor-keys@5.31.0"":
+  version ""5.31.0""
+  resolved ""https://registry.yarnpkg.com/@typescript-eslint/visitor-keys/-/visitor-keys-5.31.0.tgz#b0eca264df01ce85dceb76aebff3784629258f54""
+  integrity sha512-ZK0jVxSjS4gnPirpVjXHz7mgdOsZUHzNYSfTw2yPa3agfbt9YfqaBiBZFSSxeBWnpWkzCxTfUpnzA3Vily/CSg==
   dependencies:
-    ""@typescript-eslint/types"" ""5.30.7""
+    ""@typescript-eslint/types"" ""5.31.0""
     eslint-visitor-keys ""^3.3.0""
 
 ""@webassemblyjs/ast@1.11.1"":
@@ -575,7 +575,7 @@ acorn-walk@^8.0.0:
   resolved ""https://registry.yarnpkg.com/acorn-walk/-/acorn-walk-8.2.0.tgz#741210f2e2426454508853a2f44d0ab83b7f69c1""
   integrity sha512-k+iyHEuPgSw6SbuDpGQM+06HQUa04DZ3o+F6CSzXMvvI5KMvnaEqXe+YVe555R9nn6GPt404fos4wcgpw12SDA==
 
-acorn@^8.0.4, acorn@^8.4.1, acorn@^8.5.0, acorn@^8.7.1:
+acorn@^8.0.4, acorn@^8.5.0, acorn@^8.7.1:
   version ""8.8.0""
   resolved ""https://registry.yarnpkg.com/acorn/-/acorn-8.8.0.tgz#88c0187620435c7f6015803f5539dae05a9dbea8""
   integrity sha512-QOxyigPVrpZ2GXT+PFyZTl6TtOFc5egxHIP9IlQ+RbupQuX4RkT/Bee4/kQuC02Xkzg84JcT7oLYtDIQxp+v7w==
@@ -853,7 +853,7 @@ emojis-list@^3.0.0:
   resolved ""https://registry.yarnpkg.com/emojis-list/-/emojis-list-3.0.0.tgz#5570662046ad29e2e916e71aae260abdff4f6a78""
   integrity sha512-/kyM18EfinwXZbno9FyUGeFh87KC8HRQBQGildHZbEuRyWFOmv1U10o9BBp8XVZDVNNuQKyIGIu5ZYAAXJ0V2Q==
 
-enhanced-resolve@^5.9.3:
+enhanced-resolve@^5.10.0:
   version ""5.10.0""
   resolved ""https://registry.yarnpkg.com/enhanced-resolve/-/enhanced-resolve-5.10.0.tgz#0dc579c3bb2a1032e357ac45b8f3a6f3ad4fb1e6""
   integrity sha512-T0yTFjdpldGY8PmuXXR0PyQ1ufZpEGiHVrp7zHKB7jdR4qlmZHhONVM5AQOAWXuF/w3dnHbEQVrNptJgt7F+cQ==
@@ -924,7 +924,7 @@ eslint-visitor-keys@^3.3.0:
   resolved ""https://registry.yarnpkg.com/eslint-visitor-keys/-/eslint-visitor-keys-3.3.0.tgz#f6480fa6b1f30efe2d1968aa8ac745b862469826""
   integrity sha512-mQ+suqKJVyeuwGYHAdjMFqjCyfl8+Ldnxuyp3ldiMBFKkvytrXUZWaiPCEav8qDHKty44bD+qV1IP4T+w+xXRA==
 
-eslint@^8.14.0:
+eslint@^8.20.0:
   version ""8.20.0""
   resolved ""https://registry.yarnpkg.com/eslint/-/eslint-8.20.0.tgz#048ac56aa18529967da8354a478be4ec0a2bc81b""
   integrity sha512-d4ixhz5SKCa1D6SCPrivP7yYVi7nyD6A4vs6HIAul9ujBzcEmZVM3/0NN/yu5nKhmO1wjp5xQ46iRfmDGlOviA==
@@ -1575,7 +1575,7 @@ prelude-ls@^1.2.1:
   resolved ""https://registry.yarnpkg.com/prelude-ls/-/prelude-ls-1.2.1.tgz#debc6489d7a6e6b0e7611888cec880337d316396""
   integrity sha512-vkcDPrRZo1QZLbn5RLGPpg/WmIQ65qoWWhcGKf/b5eplkkarX0m9z8ppCat4mlOqUsWpyNuYgO3VRyrYHSzX5g==
 
-prettier@^2.6.2:
+prettier@^2.7.1:
   version ""2.7.1""
   resolved ""https://registry.yarnpkg.com/prettier/-/prettier-2.7.1.tgz#e235806850d057f97bb08368a4f7d899f7760c64""
   integrity sha512-ujppO+MkdPqoVINuDFDRLClm7D78qbDt0/NR+wp5FqEZOoTNAjPHWj17QRhu7geIHJfcNhRk1XVQmF8Bp3ye+g==
@@ -1844,7 +1844,7 @@ tapable@^2.1.1, tapable@^2.2.0:
   resolved ""https://registry.yarnpkg.com/tapable/-/tapable-2.2.1.tgz#1967a73ef4060a82f12ab96af86d52fdb76eeca0""
   integrity sha512-GNzQvQTOIP6RyTfE2Qxb8ZVlNmw0n88vp1szwWRimP02mnTsx3Wtn5qRdqY9w2XduFNUgvOwhNnQsjwCp+kqaQ==
 
-terser-webpack-plugin@^5.1.3, terser-webpack-plugin@^5.3.1:
+terser-webpack-plugin@^5.1.3, terser-webpack-plugin@^5.3.3:
   version ""5.3.3""
   resolved ""https://registry.yarnpkg.com/terser-webpack-plugin/-/terser-webpack-plugin-5.3.3.tgz#8033db876dd5875487213e87c627bca323e5ed90""
   integrity sha512-Fx60G5HNYknNTNQnzQ1VePRuu89ZVYWfjRAeT5rITuCY/1b08s49e5kSQwHDirKZWuoKOBRFS98EUUoZ9kLEwQ==
@@ -1919,7 +1919,7 @@ type-fest@^0.20.2:
   resolved ""https://registry.yarnpkg.com/type-fest/-/type-fest-0.20.2.tgz#1bf207f4b28f91583666cb5fbd327887301cd5f4""
   integrity sha512-Ne+eE4r0/iWnpAxD852z3A+N0Bt5RN//NjJwRd2VFHEmrywxf5vsZlh4R6lixl6B+wz/8d+maTSAkN1FIkI3LQ==
 
-typescript@^4.7.3:
+typescript@^4.7.4:
   version ""4.7.4""
   resolved ""https://registry.yarnpkg.com/typescript/-/typescript-4.7.4.tgz#1a88596d1cf47d59507a1bcdfb5b9dfe4d488235""
   integrity sha512-C0WQT0gezHuw6AdY1M2jxUO83Rjf0HP7Sk1DtXj6j1EwkQNZrHAg2XPWlq62oqEhYvONq5pkC2Y9oPljWToLmQ==
@@ -1954,7 +1954,7 @@ v8-compile-cache@^2.0.3:
   resolved ""https://registry.yarnpkg.com/v8-compile-cache/-/v8-compile-cache-2.3.0.tgz#2de19618c66dc247dcfb6f99338035d8245a2cee""
   integrity sha512-l8lCEmLcLYZh4nbunNZvQCJc5pv7+RCwa8q/LdUx8u7lsWvPDKmpodJAJNwkAhJC//dFY48KuIEmjtd4RViDrA==
 
-watchpack@^2.3.1:
+watchpack@^2.4.0:
   version ""2.4.0""
   resolved ""https://registry.yarnpkg.com/watchpack/-/watchpack-2.4.0.tgz#fa33032374962c78113f93c7f2fb4c54c9862a5d""
   integrity sha512-Lcvm7MGST/4fup+ifyKi2hjyIAwcdI4HRgtvTpIUxBRhB+RFtUh8XtDOxUfctVCnhVi+QQj49i91OyvzkJl6cg==
@@ -1977,7 +1977,7 @@ webpack-bundle-analyzer@^4.5.0:
     sirv ""^1.0.7""
     ws ""^7.3.1""
 
-webpack-cli@^4.9.2:
+webpack-cli@^4.10.0:
   version ""4.10.0""
   resolved ""https://registry.yarnpkg.com/webpack-cli/-/webpack-cli-4.10.0.tgz#37c1d69c8d85214c5a65e589378f53aec64dab31""
   integrity sha512-NLhDfH/h4O6UOy+0LSso42xvYypClINuMNBVVzX4vX98TmTaTUxwRbXdhucbFMd2qLaCTcLq/PdYrvi8onw90w==
@@ -2008,21 +2008,21 @@ webpack-sources@^3.2.3:
   resolved ""https://registry.yarnpkg.com/webpack-sources/-/webpack-sources-3.2.3.tgz#2d4daab8451fd4b240cc27055ff6a0c2ccea0cde""
   integrity sha512-/DyMEOrDgLKKIG0fmvtz+4dUX/3Ghozwgm6iPp8KRhvn+eQf9+Q7GWxVNMk3+uCPWfdXYC4ExGBckIXdFEfH1w==
 
-webpack@^5.72.0:
-  version ""5.73.0""
-  resolved ""https://registry.yarnpkg.com/webpack/-/webpack-5.73.0.tgz#bbd17738f8a53ee5760ea2f59dce7f3431d35d38""
-  integrity sha512-svjudQRPPa0YiOYa2lM/Gacw0r6PvxptHj4FuEKQ2kX05ZLkjbVc5MnPs6its5j7IZljnIqSVo/OsY2X0IpHGA==
+webpack@^5.74.0:
+  version ""5.74.0""
+  resolved ""https://registry.yarnpkg.com/webpack/-/webpack-5.74.0.tgz#02a5dac19a17e0bb47093f2be67c695102a55980""
+  integrity sha512-A2InDwnhhGN4LYctJj6M1JEaGL7Luj6LOmyBHjcI8529cm5p6VXiTIW2sn6ffvEAKmveLzvu4jrihwXtPojlAA==
   dependencies:
     ""@types/eslint-scope"" ""^3.7.3""
     ""@types/estree"" ""^0.0.51""
     ""@webassemblyjs/ast"" ""1.11.1""
     ""@webassemblyjs/wasm-edit"" ""1.11.1""
     ""@webassemblyjs/wasm-parser"" ""1.11.1""
-    acorn ""^8.4.1""
+    acorn ""^8.7.1""
     acorn-import-assertions ""^1.7.6""
     browserslist ""^4.14.5""
     chrome-trace-event ""^1.0.2""
-    enhanced-resolve ""^5.9.3""
+    enhanced-resolve ""^5.10.0""
     es-module-lexer ""^0.9.0""
     eslint-scope ""5.1.1""
     events ""^3.2.0""
@@ -2035,7 +2035,7 @@ webpack@^5.72.0:
     schema-utils ""^3.1.0""
     tapable ""^2.1.1""
     terser-webpack-plugin ""^5.1.3""
-    watchpack ""^2.3.1""
+    watchpack ""^2.4.0""
     webpack-sources ""^3.2.3""
 
 which@^2.0.1:
",0
refactor(broker): extract lambdas,14abf5c31523a551134aebe9e8f3505ef26ed421,refactor,https://github.com/camunda/zeebe/commit/14abf5c31523a551134aebe9e8f3505ef26ed421,refactor,extract lambdas,"diff --git a/broker/src/main/java/io/camunda/zeebe/broker/system/partitions/impl/AsyncSnapshotDirector.java b/broker/src/main/java/io/camunda/zeebe/broker/system/partitions/impl/AsyncSnapshotDirector.java
index 6ee5797..bcfcc72 100644
--- a/broker/src/main/java/io/camunda/zeebe/broker/system/partitions/impl/AsyncSnapshotDirector.java
+++ b/broker/src/main/java/io/camunda/zeebe/broker/system/partitions/impl/AsyncSnapshotDirector.java
@@ -224,7 +224,6 @@ public final class AsyncSnapshotDirector extends Actor
   private void takeSnapshot() {
     final var transientSnapshotFuture =
         stateController.takeTransientSnapshot(lowerBoundSnapshotPosition);
-
     transientSnapshotFuture.onComplete(
         (optionalTransientSnapshot, snapshotTakenError) -> {
           if (snapshotTakenError != null) {
@@ -237,27 +236,31 @@ public final class AsyncSnapshotDirector extends Actor
             takingSnapshot = false;
             return;
           }
-          pendingSnapshot = optionalTransientSnapshot.get();
-          onRecovered();
-
-          final ActorFuture<Long> lastWrittenPosition =
-              streamProcessor.getLastWrittenPositionAsync();
-          actor.runOnCompletion(
-              lastWrittenPosition,
-              (endPosition, error) -> {
-                if (error == null) {
-                  LOG.info(LOG_MSG_WAIT_UNTIL_COMMITTED, endPosition, commitPosition);
-                  lastWrittenEventPosition = endPosition;
-                  persistingSnapshot = false;
-                  persistSnapshotIfLastWrittenPositionCommitted();
-                } else {
-                  resetStateOnFailure();
-                  LOG.error(ERROR_MSG_ON_RESOLVE_WRITTEN_POS, error);
-                }
-              });
+          onTransientSnapshotTaken(optionalTransientSnapshot.get());
         });
   }
 
+  private void onTransientSnapshotTaken(final TransientSnapshot transientSnapshot) {
+
+    pendingSnapshot = transientSnapshot;
+    onRecovered();
+
+    final ActorFuture<Long> lastWrittenPosition = streamProcessor.getLastWrittenPositionAsync();
+    actor.runOnCompletion(lastWrittenPosition, this::onLastWrittenPositionReceived);
+  }
+
+  private void onLastWrittenPositionReceived(final Long endPosition, final Throwable error) {
+    if (error == null) {
+      LOG.info(LOG_MSG_WAIT_UNTIL_COMMITTED, endPosition, commitPosition);
+      lastWrittenEventPosition = endPosition;
+      persistingSnapshot = false;
+      persistSnapshotIfLastWrittenPositionCommitted();
+    } else {
+      resetStateOnFailure();
+      LOG.error(ERROR_MSG_ON_RESOLVE_WRITTEN_POS, error);
+    }
+  }
+
   private void onRecovered() {
     if (healthStatus != HealthStatus.HEALTHY) {
       healthStatus = HealthStatus.HEALTHY;
",0
style: check for truthiness not length,4ef59732e9525d89483ab569862a1118a6b78cb8,style,https://github.com/ibis-project/ibis/commit/4ef59732e9525d89483ab569862a1118a6b78cb8,style,check for truthiness not length,"diff --git a/ibis/backends/base/sql/compiler/select_builder.py b/ibis/backends/base/sql/compiler/select_builder.py
index 13b0fbe..9194c58 100644
--- a/ibis/backends/base/sql/compiler/select_builder.py
+++ b/ibis/backends/base/sql/compiler/select_builder.py
@@ -570,7 +570,7 @@ class SelectBuilder:
                 sort_keys = sop.sort_keys
                 table = sop.table
 
-            if len(selections) == 0:
+            if not selections:
                 # select *
                 selections = [table]
 
",0
"ci: more lenient check for is_ci in lib.util.download

AppVeyor sets CI=True or CI=true, not CI=1",260f7775e70e3bf4c608cd12fdf683c047cea921,ci,https://github.com/bzmaxat/electron/commit/260f7775e70e3bf4c608cd12fdf683c047cea921,ci,"more lenient check for is_ci in lib.util.download

AppVeyor sets CI=True or CI=true, not CI=1","diff --git a/script/lib/util.py b/script/lib/util.py
index 3859bf6..43fbe0e 100644
--- a/script/lib/util.py
+++ b/script/lib/util.py
@@ -87,7 +87,7 @@ def download(text, url, path):
     downloaded_size = 0
     block_size = 128
 
-    ci = os.environ.get('CI') == '1'
+    ci = os.environ.get('CI') is not None
 
     while True:
       buf = web_file.read(block_size)
",0
docs: fix broken link in ipcMain docs (#19401),637cfdd9a08a7035c725b28576f288388ffd3849,docs,https://github.com/bzmaxat/electron/commit/637cfdd9a08a7035c725b28576f288388ffd3849,docs,fix broken link in ipcMain docs (#19401),"diff --git a/docs/api/ipc-main.md b/docs/api/ipc-main.md
index 200c765..8f4fdb1 100644
--- a/docs/api/ipc-main.md
+++ b/docs/api/ipc-main.md
@@ -147,3 +147,4 @@ found in the [`ipc-main-invoke-event`](structures/ipc-main-invoke-event.md)
 structure docs.
 
 [event-emitter]: https://nodejs.org/api/events.html#events_class_eventemitter
+[web-contents-send]: web-contents.md#contentssendchannel-args
",0
feat: create DashboardDetails,fd5f211916c989fddc2ee5afeeb7d46e6a2f51cb,feat,https://github.com/MariannaV/schedule/commit/fd5f211916c989fddc2ee5afeeb7d46e6a2f51cb,feat,create DashboardDetails,"diff --git a/client/src/components/MentorSearch.tsx b/client/src/components/MentorSearch.tsx
index 622560a..06f0114 100644
--- a/client/src/components/MentorSearch.tsx
+++ b/client/src/components/MentorSearch.tsx
@@ -7,8 +7,9 @@ type Props = UserProps & {
 };
 
 export function MentorSearch(props: Props) {
-  const courseService = useMemo(() => new CourseService(props.courseId), [props.courseId]);
+  const { courseId, ...otherProps } = props;
+  const courseService = useMemo(() => new CourseService(courseId), [courseId]);
   const handleSearch = useCallback(async (value: string) => courseService.searchMentors(value), [courseService]);
 
-  return <UserSearch {...props} searchFn={handleSearch} />;
+  return <UserSearch {...otherProps} searchFn={handleSearch} />;
 }
diff --git a/client/src/components/Student/DashboardDetails.tsx b/client/src/components/Student/DashboardDetails.tsx
new file mode 100644
index 0000000..30506ef
--- /dev/null
+++ b/client/src/components/Student/DashboardDetails.tsx
@@ -0,0 +1,89 @@
+import { BranchesOutlined, CloseCircleTwoTone, SolutionOutlined, UndoOutlined } from '@ant-design/icons';
+import { Button, Descriptions, Drawer } from 'antd';
+import { CommentModal, MentorSearch } from 'components';
+import { useState } from 'react';
+import { StudentDetails } from 'services/course';
+import { MentorBasic } from '../../../../common/models';
+import css from 'styled-jsx/css';
+
+type Props = {
+  details: StudentDetails | null;
+  courseId: number;
+  onClose: () => void;
+  onCreateRepository: () => void;
+  onRestoreStudent: () => void;
+  onExpelStudent: (comment: string) => void;
+  onIssueCertificate: () => void;
+  onUpdateMentor: (githubId: string) => void;
+};
+
+export function DashboardDetails(props: Props) {
+  const [expelMode, setExpelMode] = useState(false);
+  const { details } = props;
+  if (details == null) {
+    return null;
+  }
+  return (
+    <>
+      <Drawer
+        width={600}
+        title={`${details.name} , ${details.githubId}`}
+        placement=""right""
+        closable={false}
+        onClose={props.onClose}
+        visible={!!details}
+      >
+        <div className=""student-details-actions"">
+          <Button
+            disabled={!details.isActive || !!details.repository}
+            icon={<BranchesOutlined />}
+            onClick={props.onCreateRepository}
+          >
+            Create Repository
+          </Button>
+          <Button disabled={!details.isActive} icon={<SolutionOutlined />} onClick={props.onIssueCertificate}>
+            Issue Certificate
+          </Button>
+          <Button
+            hidden={!details.isActive}
+            icon={<CloseCircleTwoTone twoToneColor=""red"" />}
+            onClick={() => setExpelMode(true)}
+          >
+            Expel
+          </Button>
+          <Button hidden={details.isActive} icon={<UndoOutlined />} onClick={props.onRestoreStudent}>
+            Restore
+          </Button>
+          <Descriptions bordered layout=""vertical"" size=""small"" column={1}>
+            <Descriptions.Item label=""Mentor"">
+              <MentorSearch
+                style={{ width: '100%' }}
+                onChange={props.onUpdateMentor}
+                courseId={props.courseId}
+                keyField=""githubId""
+                value={(details.mentor as MentorBasic)?.githubId}
+                defaultValues={details.mentor ? [details.mentor as any] : []}
+              />
+            </Descriptions.Item>
+          </Descriptions>
+        </div>
+      </Drawer>
+      <CommentModal
+        title=""Expelling Reason""
+        visible={expelMode}
+        onCancel={() => setExpelMode(false)}
+        onOk={(text: string) => {
+          props.onExpelStudent(text);
+          setExpelMode(false);
+        }}
+      />
+      <style jsx>{styles}</style>
+    </>
+  );
+}
+
+const styles = css`
+  .student-details-actions :global(.ant-btn) {
+    margin: 0 8px 8px 0;
+  }
+`;
diff --git a/client/src/components/Student/index.ts b/client/src/components/Student/index.ts
index 71e28de..076f0e2 100644
--- a/client/src/components/Student/index.ts
+++ b/client/src/components/Student/index.ts
@@ -1 +1,2 @@
 export { default as AssignStudentModal } from './AssignStudentModal';
+export { DashboardDetails } from './DashboardDetails';
diff --git a/client/src/components/StudentSearch.tsx b/client/src/components/StudentSearch.tsx
index 5952aed..7c14263 100644
--- a/client/src/components/StudentSearch.tsx
+++ b/client/src/components/StudentSearch.tsx
@@ -7,8 +7,9 @@ type Props = UserProps & {
 };
 
 export function StudentSearch(props: Props) {
-  const courseService = useMemo(() => new CourseService(props.courseId), [props.courseId]);
+  const { courseId, ...otherProps } = props;
+  const courseService = useMemo(() => new CourseService(courseId), [courseId]);
   const handleSearch = useCallback(async (value: string) => courseService.searchStudents(value), [courseService]);
 
-  return <UserSearch {...props} searchFn={handleSearch} />;
+  return <UserSearch {...otherProps} searchFn={handleSearch} />;
 }
diff --git a/client/src/components/UserSearch.tsx b/client/src/components/UserSearch.tsx
index ff95941..4075827 100644
--- a/client/src/components/UserSearch.tsx
+++ b/client/src/components/UserSearch.tsx
@@ -14,7 +14,7 @@ export type UserProps = SelectProps<string> & {
 
 export function UserSearch(props: UserProps) {
   const [data, setData] = useState<Person[]>([]);
-  const { searchFn = defaultSearch, defaultValues } = props;
+  const { searchFn = defaultSearch, defaultValues, keyField, ...otherProps } = props;
 
   useEffect(() => {
     setData(defaultValues ?? []);
@@ -29,7 +29,6 @@ export function UserSearch(props: UserProps) {
     }
   };
 
-  const { keyField, ...otherProps } = props;
   return (
     <Select
       {...otherProps}
diff --git a/client/src/pages/course/admin/students.tsx b/client/src/pages/course/admin/students.tsx
index c15dee4..220ef54 100644
--- a/client/src/pages/course/admin/students.tsx
+++ b/client/src/pages/course/admin/students.tsx
@@ -2,15 +2,13 @@ import {
   BranchesOutlined,
   CheckCircleTwoTone,
   ClockCircleTwoTone,
-  CloseCircleTwoTone,
   FileExcelOutlined,
   MinusCircleOutlined,
-  SolutionOutlined,
-  UndoOutlined,
 } from '@ant-design/icons';
-import { Button, Drawer, message, Row, Statistic, Switch, Table, Typography, Descriptions } from 'antd';
+import { Button, message, Row, Statistic, Switch, Table, Typography } from 'antd';
 import { ColumnProps } from 'antd/lib/table/Column';
-import { CommentModal, PageLayout, withSession, MentorSearch } from 'components';
+import { PageLayout, withSession } from 'components';
+import { DashboardDetails } from 'components/Student';
 import {
   boolIconRenderer,
   boolSorter,
@@ -21,14 +19,12 @@ import {
 } from 'components/Table';
 import { useLoading } from 'components/useLoading';
 import withCourseData from 'components/withCourseData';
+import { isCourseManager } from 'domain/user';
 import _ from 'lodash';
 import { useMemo, useState } from 'react';
 import { useAsync } from 'react-use';
-import { isCourseManager } from 'domain/user';
 import { CourseService, StudentDetails } from 'services/course';
 import { CoursePageProps } from 'services/models';
-import css from 'styled-jsx/css';
-import { MentorBasic } from '../../../../../common/models';
 
 const { Text } = Typography;
 
@@ -39,7 +35,6 @@ function Page(props: Props) {
   const courseId = props.course.id;
 
   const [loading, withLoading] = useLoading(false);
-  const [expelMode, setExpelMode] = useState(false);
   const [isManager] = useState(isCourseManager(props.session, props.course.id));
   const courseService = useMemo(() => new CourseService(courseId), [courseId]);
   const [students, setStudents] = useState([] as StudentDetails[]);
@@ -77,7 +72,6 @@ function Page(props: Props) {
       await courseService.expelStudent(githubId, text);
       message.info('Student has been expelled');
     }
-    setExpelMode(false);
   });
 
   const restoreStudent = withLoading(async () => {
@@ -114,59 +108,20 @@ function Page(props: Props) {
           <div>{renderToolbar()}</div>
         </Row>
         <Table rowKey=""id"" pagination={{ pageSize: 100 }} size=""small"" dataSource={students} columns={getColumns()} />
-        <Drawer
-          width={400}
-          title={details ? `${details.name} , ${details.githubId}` : ''}
-          placement=""right""
-          closable={false}
+
+        <DashboardDetails
+          onUpdateMentor={updateMentor}
+          onRestoreStudent={restoreStudent}
+          onIssueCertificate={issueCertificate}
+          onExpelStudent={expelStudent}
+          onCreateRepository={createRepository}
           onClose={() => {
             setDetails(null);
             loadStudents();
           }}
-          visible={!!details}
-        >
-          <div className=""student-details-actions"">
-            <Button
-              disabled={!details?.isActive || !!details.repository}
-              icon={<BranchesOutlined />}
-              onClick={createRepository}
-            >
-              Create Repository
-            </Button>
-            <Button disabled={!details?.isActive} icon={<SolutionOutlined />} onClick={issueCertificate}>
-              Issue Certificate
-            </Button>
-            <Button
-              hidden={!details?.isActive}
-              icon={<CloseCircleTwoTone twoToneColor=""red"" />}
-              onClick={() => setExpelMode(true)}
-            >
-              Expel
-            </Button>
-            <Button hidden={details?.isActive} icon={<UndoOutlined />} onClick={restoreStudent}>
-              Restore
-            </Button>
-            <Descriptions bordered layout=""vertical"" size=""small"" column={1}>
-              <Descriptions.Item label=""Mentor"">
-                <MentorSearch
-                  style={{ width: '100%' }}
-                  onChange={updateMentor}
-                  courseId={props.course.id}
-                  keyField=""githubId""
-                  value={(details?.mentor as MentorBasic)?.githubId}
-                  defaultValues={details?.mentor ? [details?.mentor as any] : []}
-                />
-              </Descriptions.Item>
-            </Descriptions>
-          </div>
-        </Drawer>
-        <CommentModal
-          title=""Expelling Reason""
-          visible={expelMode}
-          onCancel={() => setExpelMode(false)}
-          onOk={expelStudent}
+          details={details}
+          courseId={props.course.id}
         />
-        <style jsx>{styles}</style>
       </PageLayout>
     );
   }
@@ -306,14 +261,4 @@ function calculateStats(students: StudentDetails[]) {
   };
 }
 
-const styles = css`
-  :global(.rs-table-row-disabled) {
-    opacity: 0.25;
-  }
-
-  .student-details-actions :global(.ant-btn) {
-    margin: 0 8px 8px 0;
-  }
-`;
-
 export default withCourseData(withSession(Page));
diff --git a/client/src/styles/main.css b/client/src/styles/main.css
index 2ccac3c..df3cc8c 100644
--- a/client/src/styles/main.css
+++ b/client/src/styles/main.css
@@ -21,6 +21,10 @@ body,
